X,Y,band1,band2,band3,band4,band5,band6,band7
1,1178,0,0,0,0,0,0,0
1,1179,0,0,0,0,0,0,0
1,1180,0,0,0,0,0,0,0
1,1181,0,0,0,0,0,0,0
1,1182,0,0,0,0,0,0,0
1,1183,0,0,0,0,0,0,0
1,1184,0,0,0,0,0,0,0
1,1185,0,0,0,0,0,0,0
1,1186,0,0,0,0,0,0,0
1,1187,0,0,0,0,0,0,0
1,1188,0,0,0,0,0,0,0
1,1189,0,0,0,0,0,0,0
1,1190,0,0,0,0,0,0,0
1,1191,0,0,0,0,0,0,0
1,1192,0,0,0,0,0,0,0
1,1193,0,0,0,0,0,0,0
1,1194,0,0,0,0,0,0,0
1,1195,0,0,0,0,0,0,0
1,1196,0,0,0,0,0,0,0
1,1197,0,0,0,0,0,0,0
1,1198,0,0,0,0,0,0,0
1,1199,0,0,0,0,0,0,0
2,0,58,44,39,69,43,123,28
2,1,52,38,33,64,40,125,27
2,2,48,35,26,64,35,125,21
2,3,52,34,27,52,30,120,16
2,4,57,39,34,44,25,120,16
2,5,53,41,36,53,27,119,15
2,6,50,36,33,56,26,119,16
2,7,51,36,31,57,25,117,15
2,8,51,37,31,45,20,117,14
2,9,53,38,31,22,13,116,12
2,10,53,39,35,16,10,116,9
2,11,54,40,35,22,12,116,12
2,12,57,37,38,30,16,116,12
2,13,54,36,34,44,20,121,15
2,14,56,42,40,42,26,121,13
2,15,60,50,52,47,29,119,14
2,16,61,49,54,45,30,119,17
2,17,57,42,42,29,20,113,14
2,18,54,41,39,27,16,113,9
2,19,56,42,42,40,20,115,13
2,20,53,38,34,46,20,115,11
2,21,53,36,33,52,22,117,14
2,22,50,33,27,52,26,117,15
2,23,53,37,34,78,46,116,23
2,24,56,40,33,94,49,116,26
2,25,56,40,33,94,49,118,26
2,26,55,41,36,82,56,118,27
2,27,54,42,40,85,54,121,29
2,28,56,43,38,79,53,121,29
2,29,55,43,34,77,43,125,29
2,30,54,42,34,84,43,125,26
2,31,54,41,34,86,46,123,26
2,32,53,43,31,97,55,123,30
2,33,52,42,35,86,52,124,28
2,34,52,41,31,91,52,124,26
2,35,54,45,34,109,63,126,32
2,36,55,42,36,87,50,126,28
2,37,56,39,32,64,35,124,22
2,38,52,41,34,101,52,124,31
2,39,53,41,35,111,57,126,28
2,40,51,42,29,148,63,126,31
2,41,53,42,30,127,53,123,27
2,42,50,34,28,60,29,123,18
2,43,50,32,24,45,24,119,13
2,44,53,37,29,83,36,119,21
2,45,50,40,29,106,45,119,22
2,46,51,40,30,105,42,119,23
2,47,50,37,27,80,42,123,21
2,48,52,41,30,90,47,123,24
2,49,52,41,32,96,45,122,24
2,50,51,40,33,94,48,122,24
2,51,52,43,33,96,49,121,25
2,52,54,43,32,98,47,121,24
2,53,52,41,31,94,43,121,22
2,54,54,40,32,109,48,121,25
2,55,52,41,31,107,47,122,22
2,56,50,37,30,88,30,122,20
2,57,50,37,26,106,41,122,20
2,58,53,42,34,107,50,122,28
2,59,55,44,38,94,44,124,27
2,60,52,40,29,104,44,124,23
2,61,51,39,28,103,38,119,17
2,62,51,39,27,101,33,119,17
2,63,49,41,27,103,39,118,20
2,64,51,41,31,108,50,118,23
2,65,51,40,31,111,47,119,22
2,66,49,37,26,97,33,119,18
2,67,51,40,32,117,61,123,27
2,68,53,42,36,123,61,123,29
2,69,51,42,33,120,57,127,26
2,70,53,43,30,128,57,127,26
2,71,52,40,30,135,60,126,26
2,72,49,38,28,107,47,126,24
2,73,54,40,31,81,46,123,22
2,74,52,37,29,92,36,123,19
2,75,52,40,32,111,49,124,24
2,76,53,40,35,104,55,124,29
